parent_category,name,link
"Toys, Kids & Baby",For Girls,/gp/browse.html?node=7147442011&ref_=nav_em__toys_girls_0_2_24_10
"Toys, Kids & Baby",For Boys,/gp/browse.html?node=7147443011&ref_=nav_em__toys_boys_0_2_24_11
"Toys, Kids & Baby",For Baby,/gp/browse.html?node=7147444011&ref_=nav_em__toys_baby_0_2_24_12
"Toys, Kids & Baby",For Teens,/teenshop?ref_=nav_em_TDEP_0_2_24_13
Handmade,All Handmade,/gp/browse.html?node=120955898011&ref_=nav_em__HM_Home_0_2_25_2
Handmade,Jewelry,/gp/browse.html?node=121179460011&ref_=nav_em__HM_Jewelry_0_2_25_3
Handmade,Clothing &amp; Shoes,/gp/browse.html?node=121190502011&ref_=nav_em__HM_clothingShoes_0_2_25_4
Handmade,Beauty &amp; Grooming,/gp/browse.html?node=121190632011&ref_=nav_em__HM_beauty_0_2_25_5
Handmade, Stationery &amp; Party Supplies,/gp/browse.html?node=121190727011&ref_=nav_em__HM_stationery_0_2_25_6
Handmade,Toys &amp; Games,/gp/browse.html?node=121190630011&ref_=nav_em__HM_toys_0_2_25_7
Handmade,Pet Supplies,/gp/browse.html?node=121190752011&ref_=nav_em__HM_petsupplies_0_2_25_8
Handmade,Home Décor,/gp/browse.html?node=121190508011&ref_=nav_em__HM_homedecor_0_2_25_9
Handmade,Kitchen &amp; Dining ,/gp/browse.html?node=121190509011&ref_=nav_em__HM_kitchen_0_2_25_10
Handmade,Baby,/gp/browse.html?node=121190737011&ref_=nav_em__HM_baby_0_2_25_11
Handmade,Sell on Amazon Handmade,https://services.amazon.com/handmade/handmade.html?ld=AZUSHND_HM_amz_directory&ref_=nav_em_0_2_25_12
Sports & Outdoors,All Sports &amp; Outdoors,/gp/browse.html?node=3375251&ref_=nav_em__sa_sp_allsport_0_2_26_2
Sports & Outdoors,Outdoor Recreation,/gp/browse.html?node=706814011&ref_=nav_em__sa_sp_outrec_0_2_26_3
Sports & Outdoors,Hunting,/gp/browse.html?node=3412851&ref_=nav_em__sa_sp_hunt_0_2_26_4
Sports & Outdoors,Fishing &amp; Boating,/gp/browse.html?node=3408951&ref_=nav_em__sa_sp_fish_0_2_26_5
Sports & Outdoors,Cycling,/gp/browse.html?node=3403201&ref_=nav_em__sa_sp_ride_0_2_26_6
Sports & Outdoors,Exercise &amp; Fitness,/gp/browse.html?node=3407731&ref_=nav_em__sa_sp_exfit_0_2_26_7
Sports & Outdoors,Sports,/gp/browse.html?node=10971181011&ref_=nav_em__sa_sp_team_0_2_26_8
Sports & Outdoors,Golf,/gp/browse.html?node=3410851&ref_=nav_em__sa_sp_golf_0_2_26_9
Sports & Outdoors,Game Room &amp; Outdoor Games,/gp/browse.html?node=706808011&ref_=nav_em__sa_sp_gamerm_0_2_26_10
Sports & Outdoors,Fan Shop,/fanshop?ref_=nav_em__sa_sp_slls_hb_so_d_0_2_26_11
Sports & Outdoors,Sports Collectibles,/gp/browse.html?node=3250697011&ref_=nav_em__sa_sp_sptcllct_0_2_26_12
Sports & Outdoors,Sales &amp; Deals,/gp/browse.html?node=10805321&ref_=nav_em__sa_sp_deals_0_2_26_13
Automotive,Automotive Parts &amp; Accessories,/gp/browse.html?node=15684181&ref_=nav_em__apa_0_2_27_2
Automotive,Automotive Tools &amp; Equipment,/gp/browse.html?node=15706941&ref_=nav_em__ate_0_2_27_3
Automotive,Car/Vehicle Electronics &amp; GPS,/gp/browse.html?node=3248684011&ref_=nav_em__ceg_0_2_27_4
Automotive,Tires &amp; Wheels,/gp/browse.html?node=15706571&ref_=nav_em__wt_0_2_27_5
Automotive,Motorcycle &amp; Powersports,/gp/browse.html?node=346333011&ref_=nav_em__matv_0_2_27_6
Automotive,RV Parts &amp; Accessories,/gp/browse.html?node=2258019011&ref_=nav_em__ate_0_2_27_7
Automotive,Your Garage,/gp/your-garage/?ref_=nav_em_au_pf_as_GNO_0_2_27_8
